% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.344228145e+03 +4.344228145e+03 +3.882138145e+03 +3.882138145e+03 -2.8926e+00 +2.1207e+00 +1.2475e-01 -2.7608e+00 -4.7750e+00 +1.8934e+00 -2.2903e+00 -6.1549e-01 +2.5599e+00 -1.6607e+00 +3.3242e+00 +9.5875e-01 +1.1489e+00 +4.7863e+00 +4.0083e-01 -1.5851e+00 -3.7785e+00 -4.0424e+00 +2.8532e+00 +4.0887e+00
3 +3.013649144e+03 +3.013649144e+03 +2.551559144e+03 +2.551559144e+03 -1.5540e+00 -3.7297e-01 -2.6060e+00 +3.3838e+00 -1.2078e+00 +6.2082e-01 -4.7678e+00 +3.6879e+00 -3.6100e-01 -2.1311e+00 +4.9972e+00 -2.7316e+00 -9.9181e-01 +3.9782e+00 -2.7661e+00 -4.5083e+00 -7.2386e-01 +2.2169e+00 +1.5551e+00 +4.8479e+00
5 +2.101592909e+03 +2.101592909e+03 +1.639502909e+03 +1.639502909e+03 -4.9904e+00 -7.8297e-02 +3.0022e+00 -1.7338e+00 +1.6042e+00 +1.7173e+00 +4.4457e+00 -1.3004e+00 -4.8964e+00 +1.5451e+00 +4.6058e-01 +7.1559e-01 +1.2412e+00 +2.2139e+00 +2.8327e+00 -1.5141e+00 -2.8717e+00 -1.3944e+00 +1.0393e+00 -4.2314e+00
17 +1.538463886e+03 +1.538463886e+03 +1.076373886e+03 +1.076373886e+03 -1.5624e+00 +6.6821e-01 +2.7225e-01 -8.7862e-01 -2.4649e-01 +2.7176e+00 -3.6137e+00 +4.2907e+00 -6.3289e-01 -3.4637e+00 +1.6808e+00 -2.7908e+00 +2.8117e+00 -7.2434e-01 -1.5297e+00 +1.3005e+00 -1.1442e+00 -3.2091e+00 +2.9103e-01 +2.9967e+00
21 +9.875796203e+02 +9.875796203e+02 +5.254896203e+02 +5.254896203e+02 +4.5280e+00 +3.7468e-01 +2.3792e+00 -4.2245e-01 +1.0908e+00 -1.5603e+00 +1.2123e+00 +4.1635e+00 +1.4734e+00 +4.4628e+00 -4.6601e+00 -2.6977e+00 -7.7357e-01 -9.9345e-01 -2.3858e+00 -8.3008e-01 +3.1856e+00 +4.8109e+00 -4.8620e+00 +4.8683e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.075388088e+03 +1.075388088e+03 +1.153048088e+03 +1.153048088e+03 -2.8260e+00 +4.3278e-01 +3.4635e+00 -2.3875e+00 +1.9538e+00 +2.4995e+00 -4.6891e-02 +2.6589e+00 -3.3721e+00 -3.0785e+00 +2.9643e+00 +4.9382e+00 -4.0896e+00 -2.8882e+00 -4.4062e+00 +4.5867e+00 -1.1223e+00 +7.0454e-01 +4.7006e-01 -4.4854e+00
11 +5.584202015e+02 +5.584202015e+02 +6.360802015e+02 +6.360802015e+02 -1.1312e+00 +2.5732e+00 -4.6123e-01 -6.0774e-01 +2.4699e+00 +6.9383e-01 -1.2293e+00 +2.7199e+00 -5.8479e-01 -1.5287e+00 +2.6219e+00 +1.2968e+00 +4.2172e-01 -2.5780e+00 -3.5470e+00 +2.9436e+00 -3.7692e+00 -1.7215e-01 +2.7335e+00 -3.2110e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.876129998e+03 +1.876129998e+03 +1.991809998e+03 +1.991809998e+03 +1.6859e+00 +1.1492e+00 +4.8842e+00 +4.0486e+00 -1.1279e+00 -1.2561e+00 +3.2354e+00 -1.8185e+00 -1.7030e+00 +1.6318e+00 -4.5497e+00 -1.7846e-01 -2.3989e+00 -4.0817e-01 +3.8241e+00 +1.3153e+00 +1.1688e+00 -1.7931e+00 +1.9582e+00 -3.9836e+00
2 +1.543297015e+03 +1.543297015e+03 +1.658977015e+03 +1.658977015e+03 -2.7287e+00 +2.5836e-01 +2.0921e+00 +3.7867e+00 +2.5034e+00 +3.6643e+00 +2.2714e+00 -4.5701e-01 +5.4970e-01 -3.0169e+00 -1.4020e+00 -1.1436e+00 -1.9997e+00 +1.0895e+00 -1.3576e-01 +2.9160e+00 -3.4940e+00 -1.3324e+00 -3.5594e+00 -8.7161e-01
61 +9.469831238e+02 +9.469831238e+02 +1.062663124e+03 +1.062663124e+03 -1.9418e+00 -2.0582e-01 -3.0556e+00 +4.7964e-01 +2.1454e+00 -4.7586e+00 -1.4691e+00 +1.8537e+00 -2.8405e+00 -4.9489e+00 +1.1101e+00 -3.8766e+00 -1.7006e+00 +1.0005e-01 +2.4333e+00 +1.6956e+00 -1.4094e+00 +2.6565e+00 +2.3849e+00 +2.3701e+00
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.908183891e+03 +2.908183891e+03 +2.904473891e+03 +2.904473891e+03 +1.6716e+00 -1.9221e+00 -6.6789e-01 +6.8156e-01 +1.6782e+00 -1.7545e+00 -8.0802e-01 -1.0531e+00 -2.2596e-01 +4.2489e+00 -4.6477e+00 +4.9760e+00 +4.7339e-02 -4.8131e+00 -1.7392e+00 +3.3041e+00 -4.3927e+00 +2.1258e+00 -2.3352e+00 +4.6357e-02
3 +1.700515402e+03 +1.700515402e+03 +1.696805402e+03 +1.696805402e+03 +1.5440e+00 +4.5403e+00 -4.1707e+00 -1.3467e+00 +9.6649e-01 +4.8485e+00 -2.2603e+00 -7.7470e-01 +3.8603e+00 -1.0609e+00 +4.9729e+00 -3.2944e+00 -4.5376e+00 -1.1190e+00 +4.9651e+00 -1.3744e-02 -2.4519e+00 +2.5092e+00 +2.7190e+00 -1.6494e-01
