% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.496175076e+08 +3.496175076e+08 +3.496168865e+08 +3.496168865e+08 -4.5733e+00 -9.1479e-01 -2.3674e+00 -3.4588e+00 -2.3318e+00 +2.1494e+00 -4.9190e+00 +4.5662e-01 -9.3660e-01 -3.1024e+00 +5.6096e-01 +3.6273e+00 +3.1109e+00 +1.7382e+00 -1.5913e+00 -3.7217e+00 -8.6066e-01 +1.5058e+00 -1.3172e+00 -1.7482e+00
11 +2.117644648e+08 +2.117644648e+08 +2.117638437e+08 +2.117638437e+08 -2.9571e+00 +3.4002e+00 +8.1203e-01 -3.4137e+00 -2.2513e+00 -3.2780e+00 +4.3094e-01 +1.9094e+00 +4.0657e+00 -4.1266e+00 +4.3837e+00 -3.1590e+00 +1.6882e+00 -1.5993e+00 +3.5246e+00 -1.2975e+00 +3.3092e+00 +2.3275e+00 +3.5965e+00 -4.2977e-01
265 +1.191375555e+08 +1.191375555e+08 +1.191369344e+08 +1.191369344e+08 +2.4848e+00 +2.7763e+00 -1.7575e+00 -5.0000e+00 +7.1571e-01 +2.9288e+00 -1.8824e-308 +3.0908e+00 +1.1323e+00 +3.5622e+00 +3.7732e+00 +4.9279e+00 +5.0000e+00 -5.0020e-01 -2.3753e-308 -4.8712e+00 +1.4168e-308 +3.1354e+00 +1.4766e-308 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.440983417e+10 +1.440983417e+10 +1.440983392e+10 +1.440983392e+10 -4.0462e+00 -8.7725e-01 +3.4953e-02 -2.2521e+00 +8.0782e-01 +4.0426e+00 -4.0222e+00 +3.9857e+00 -3.3499e+00 +4.1776e+00 -2.4244e-01 +2.2751e+00 +4.0714e+00 +1.7798e+00 +1.9647e+00 -6.5702e-01 -1.5506e+00 +1.8262e+00 +9.6202e-02 +4.9387e+00
2 +3.829321318e+09 +3.829321318e+09 +3.829321063e+09 +3.829321063e+09 +5.4950e-01 -3.0609e+00 -1.7908e+00 -1.9357e+00 +2.5462e+00 -4.4556e-01 -2.7628e+00 -2.4721e+00 -3.0142e+00 -4.8640e+00 -3.0680e+00 +4.5492e+00 +2.3739e+00 +1.6214e+00 -8.9957e-01 -2.3692e+00 -3.5783e+00 -2.0364e+00 +3.2266e+00 -3.5223e+00
3 +1.662604192e+09 +1.662604192e+09 +1.662603937e+09 +1.662603937e+09 -5.9713e-01 -3.2600e+00 +3.2879e+00 -5.4403e-01 +1.8378e+00 +2.8235e+00 +5.3479e-01 +4.4417e+00 -3.8158e-01 -5.7319e-01 +5.0869e-01 -2.4040e+00 -3.3153e+00 -3.1503e+00 -4.9362e-01 -1.4862e+00 -4.3560e+00 +2.0501e+00 -8.6695e-01 +3.7507e+00
6 +1.401751051e+09 +1.401751051e+09 +1.401750796e+09 +1.401750796e+09 +6.9468e-01 -4.0645e+00 +2.7514e+00 +2.8706e+00 +1.4988e+00 -1.7979e+00 +4.6900e+00 +1.1867e+00 -1.5648e+00 +3.2038e+00 +2.4830e+00 +3.8795e+00 -3.5039e+00 +4.7581e+00 -4.4562e+00 -4.6398e+00 -2.3972e+00 -1.9899e-01 +1.5298e+00 -3.7647e+00
15 +3.257028201e+08 +3.257028201e+08 +3.257025653e+08 +3.257025653e+08 +4.9647e+00 +4.1399e-01 +1.8927e+00 -4.4573e+00 +3.3711e+00 -4.1145e+00 +4.4665e+00 +2.9328e+00 +3.9879e+00 +4.5788e+00 +3.8979e+00 +4.0984e+00 -4.3235e+00 +4.4412e-01 -1.7171e+00 -4.6578e+00 -5.3652e-02 -3.8828e+00 -2.6993e+00 -4.8143e-01
78 +1.954130474e+08 +1.954130474e+08 +1.954127926e+08 +1.954127926e+08 +2.2772e+00 +2.3471e+00 +1.5589e+00 +3.5489e+00 -2.5366e+00 -3.9435e+00 +1.4593e+00 +4.0616e+00 +1.7680e+00 -6.8509e-01 +4.7999e+00 +3.9896e+00 +2.5937e+00 +2.0597e+00 -4.1779e+00 -1.3677e+00 +3.3694e+00 -2.4025e+00 +2.2212e+00 -1.2073e+00
