% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.461838877e+03 +3.461838877e+03 +3.491808877e+03 +3.491808877e+03 +4.8283e+00 +3.0420e+00 +2.0739e+00 +3.7755e+00 -1.0083e+00 +4.8862e+00 +9.0397e-01 -2.3755e+00 -1.3658e+00 +3.7289e+00 +2.9808e+00 -4.8575e+00 -2.8958e-01 +2.3337e+00 +3.0160e-01 -1.2290e+00 -4.3433e+00 +3.9793e+00 -3.2237e+00 +3.1099e+00
23 +2.177592321e+03 +2.177592321e+03 +2.207562321e+03 +2.207562321e+03 -3.1625e-01 +3.9094e+00 +1.3900e+00 -2.4181e+00 +3.2286e+00 +2.1517e+00 -6.0622e-01 -4.9111e+00 -3.5501e+00 -4.3061e+00 +7.1605e-01 -4.3321e+00 +1.6422e+00 +2.6779e+00 -1.4361e+00 +2.2591e+00 -1.3009e+00 -2.1143e+00 -2.1304e+00 -2.5642e+00
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.918935883e+03 +2.918935883e+03 +2.867225883e+03 +2.867225883e+03 -3.8117e-01 +4.7617e+00 +3.0967e-01 -3.6590e+00 +1.7429e+00 +2.6266e+00 -2.1190e-01 -2.0816e+00 -4.3881e+00 -1.2417e+00 -2.5966e+00 -2.8256e-01 +3.2916e-01 +4.5960e+00 -4.7500e-01 -3.9961e+00 -3.4273e+00 +3.2477e+00 +1.0131e+00 +2.7730e-01
36 +2.410365908e+03 +2.410365908e+03 +2.358655908e+03 +2.358655908e+03 -5.1813e-01 +1.3956e+00 +2.4322e+00 -4.7750e+00 +2.0762e+00 -2.8228e-01 -1.8885e+00 -3.7893e+00 -3.4370e+00 -1.8123e+00 +3.0165e+00 +3.9178e+00 +3.2172e+00 +1.9220e+00 +2.7167e+00 +4.4479e+00 -1.9843e+00 +4.4877e+00 +6.2309e-01 +3.8952e+00
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.017520145e+03 +4.017520145e+03 +3.737570145e+03 +3.737570145e+03 +4.3409e+00 -3.1492e+00 -2.0033e+00 -4.3283e+00 +2.3123e+00 -2.8785e+00 -4.3124e+00 -4.4570e+00 -3.5307e+00 +4.7210e+00 +5.3233e-01 -2.0762e+00 +8.1486e-01 -2.9495e+00 -2.9544e+00 -4.3947e-01 +2.8911e+00 -3.6197e+00 +2.5045e+00 -1.1379e+00
2 +2.763401365e+03 +2.763401365e+03 +2.483451365e+03 +2.483451365e+03 +1.4194e-01 -9.0116e-01 -4.5138e+00 +1.5045e+00 -2.3289e+00 -4.6663e+00 -1.4905e+00 -1.1823e+00 +4.3423e+00 -1.6163e+00 +4.3379e-02 +2.5200e+00 +1.7769e+00 -1.8951e+00 -3.4225e+00 +1.0011e+00 +5.5266e-01 +3.6234e-01 -1.0270e+00 +3.3323e+00
3 +2.311429141e+03 +2.311429141e+03 +2.031479141e+03 +2.031479141e+03 +2.3513e+00 -3.5970e+00 +3.4134e+00 +2.5656e-01 -5.6790e-01 +4.9640e+00 -1.0555e-01 -2.8414e+00 +4.9900e+00 -4.8050e+00 +4.9093e-01 +2.7124e+00 -2.8384e+00 -2.7918e+00 -1.6389e+00 +1.9692e+00 +3.0990e+00 +2.9533e+00 -6.9664e-01 -4.7304e-01
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.055745928e+03 +3.055745928e+03 +3.987735928e+03 +3.987735928e+03 +4.4475e+00 -8.9765e-01 +4.7491e+00 +6.4207e-01 -1.7510e+00 +7.0261e-02 -3.1948e+00 +3.7764e+00 +2.2148e+00 +2.4950e+00 +1.6775e+00 +4.2033e+00 -3.8407e+00 -4.2466e+00 -3.2579e-01 +3.5453e+00 -3.2752e+00 -3.2181e+00 +5.8668e-01 -5.3687e-02
11 +2.333579369e+03 +2.333579369e+03 +3.265569369e+03 +3.265569369e+03 -9.4275e-02 -4.4850e+00 +2.9336e+00 +4.2545e+00 +9.9830e-01 +1.0815e+00 +1.9736e+00 +7.5943e-01 +2.1328e+00 +1.7628e+00 +2.5530e+00 -1.9496e+00 -2.3085e-02 -3.7066e+00 +3.2644e+00 +4.1270e+00 -4.9409e+00 -3.2169e+00 +1.5531e+00 +1.2501e+00
