% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.342625078e+01 +4.342625078e+01 +2.648625078e+01 +2.648625078e+01 -4.3667e+00 +2.1490e+00 -4.4687e+00 -4.8746e+00 -4.1445e-01 +2.7362e+00 -4.9464e+00 +2.2798e+00 -1.9023e-01 -1.4639e+00 +1.9849e-01 +3.6963e-01 -9.1522e-01 -1.1535e+00 +1.9612e+00 +3.2873e+00 -1.7383e-03 -2.2434e+00 -8.1850e-01 +2.0771e+00
6 +2.046755373e+01 +2.046755373e+01 +3.527553732e+00 +3.527553732e+00 +3.3920e+00 -2.8196e+00 +3.2998e+00 +1.8997e+00 +8.8762e-01 +1.9535e-01 -4.0919e-01 -2.4856e+00 -1.6773e+00 -6.1068e-01 +2.4591e+00 +4.8845e+00 +3.9664e+00 -4.8852e+00 -9.6045e-01 +3.1977e+00 -5.0880e-01 +2.6588e+00 -1.3740e+00 +4.2232e+00
145 +1.474819033e+01 +1.474819033e+01 -2.191809665e+00 -2.191809665e+00 +6.3011e-01 +4.0636e+00 -7.9012e-01 -3.0483e+00 +3.2757e+00 +1.9736e+00 +1.4192e+00 -2.4872e+00 -2.3893e+00 -3.8628e+00 +2.4609e+00 -3.8003e+00 -8.8151e-01 -3.2684e+00 +3.0495e+00 -2.7259e+00 +3.5376e+00 +4.0367e-01 +4.0931e+00 +4.4852e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.567747286e+01 +6.567747286e+01 +8.448747286e+01 +8.448747286e+01 -3.2319e+00 -3.0851e+00 -4.5493e+00 +2.8094e+00 -3.0395e+00 +4.5104e-01 -2.1251e+00 +2.1348e+00 -4.6921e-01 +2.1976e+00 -2.4576e+00 -3.6168e+00 -4.8651e+00 +1.0986e+00 +1.2234e+00 +1.1686e+00 +4.1649e+00 +1.2033e+00 -2.5162e+00 -2.1950e+00
2 +2.280553217e+01 +2.280553217e+01 +4.161553217e+01 +4.161553217e+01 -5.9850e-03 +3.3120e+00 +2.5937e+00 -4.9639e+00 -3.4692e+00 -3.2621e+00 +8.6755e-01 +6.9642e-01 +1.8713e+00 +4.3499e+00 +1.6262e+00 +8.7903e-01 -2.2719e+00 -4.2141e+00 +9.8363e-01 -1.8554e-01 +2.1257e+00 -3.5482e+00 +4.0178e+00 +2.0689e+00
59 +1.452390370e+01 +1.452390370e+01 +3.333390370e+01 +3.333390370e+01 -4.9507e+00 -6.1294e-01 +2.5852e+00 -2.4666e-02 -1.6710e+00 +2.3247e+00 +4.3347e+00 -1.2024e+00 +4.3505e+00 +2.9550e+00 -4.7646e+00 +4.6028e+00 +3.9710e+00 -2.0446e-01 +3.3999e+00 -4.0853e+00 -3.8853e+00 -1.4656e+00 -3.7566e+00 +1.9159e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.654793665e+02 +2.654793665e+02 +5.386293665e+02 +5.386293665e+02 +3.7049e+00 +4.5126e+00 +3.4674e+00 -4.3402e+00 +3.6686e+00 +1.6848e+00 +4.4605e+00 -8.7643e-01 -2.4767e+00 +8.3401e-01 +4.7141e+00 -4.6812e+00 +1.4243e+00 -3.0345e+00 -1.3226e+00 -3.9997e+00 +4.5806e+00 +2.2305e+00 +2.9141e+00 +1.9453e+00
2 +4.056898448e+01 +4.056898448e+01 +3.137189845e+02 +3.137189845e+02 -8.8262e-01 +2.4035e+00 +1.2411e+00 +1.2186e+00 -1.4500e+00 -2.5955e+00 -4.3310e+00 +1.9789e+00 +2.9451e+00 +5.8549e-01 +6.1566e-01 +4.6865e+00 +2.9998e+00 +1.1892e+00 +2.7708e+00 -4.1110e+00 +1.8388e+00 -1.3282e+00 -1.8131e+00 -3.4988e+00
8 +2.311397330e+01 +2.311397330e+01 +2.962639733e+02 +2.962639733e+02 -4.6431e+00 +2.9231e+00 -1.1340e+00 +3.4520e+00 -3.5626e+00 -4.1077e+00 +4.3316e+00 +1.5333e+00 -4.4796e+00 -4.7819e+00 -1.8890e+00 -3.9045e+00 +1.7388e+00 +4.1969e+00 -3.7276e+00 -3.2140e+00 +1.5704e+00 +4.2543e+00 -1.9575e+00 -3.1985e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.604544024e+01 +2.604544024e+01 +6.322544024e+01 +6.322544024e+01 -8.7667e-02 -4.4734e+00 -3.5603e+00 -2.3861e+00 +2.7929e+00 +3.9997e+00 -2.6823e+00 +2.5488e+00 -2.3350e+00 +4.0463e+00 -1.4883e-01 -8.4349e-01 +2.8083e+00 -3.5696e+00 -1.1847e-01 +6.2472e-01 -4.8546e+00 +3.1114e+00 -1.5113e+00 +3.9402e+00
3 +1.708313998e+01 +1.708313998e+01 +5.426313998e+01 +5.426313998e+01 -1.4972e+00 -6.1893e-01 +3.0404e+00 -3.5605e+00 -1.3124e+00 -3.3276e+00 +3.3288e-01 -3.1457e+00 -7.6769e-01 -2.0940e+00 -3.8037e+00 +2.9525e-01 -2.1466e+00 -6.9411e-01 -2.0108e+00 +1.1298e+00 -1.5602e+00 +3.2982e+00 +1.4873e+00 +1.4644e+00
4 +1.526316243e+01 +1.526316243e+01 +5.244316243e+01 +5.244316243e+01 +1.9644e+00 -2.3447e+00 -1.5260e+00 +5.1568e-01 -1.0950e+00 +3.6594e+00 +1.8655e-02 -2.1600e-01 -1.3413e+00 +3.7792e+00 -1.3467e+00 +1.1656e+00 -1.3343e+00 +6.0477e-01 +1.9585e+00 +2.6474e+00 -3.4495e+00 +2.1940e+00 +1.6078e-01 -2.7134e+00
928 +9.634705821e+00 +9.634705821e+00 +4.681470582e+01 +4.681470582e+01 +1.2008e+00 +3.3273e+00 +8.7247e-01 -2.1395e+00 -4.8530e+00 -3.6617e+00 +3.5615e+00 -3.9014e+00 +1.7239e+00 +4.3765e-01 -6.8917e-01 +1.7509e+00 +4.8540e+00 +1.9210e+00 +2.2823e+00 +2.8391e+00 +6.8434e-01 +1.3986e-01 -4.6605e+00 +1.4699e+00
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.580936418e+01 +3.580936418e+01 -1.120906358e+02 -1.120906358e+02 -4.9208e+00 -4.1525e+00 -1.9833e+00 -2.1275e+00 +1.3522e+00 -1.3904e+00 +1.1404e+00 +3.3549e+00 +1.7135e+00 -4.0012e+00 +4.7290e+00 -3.8906e+00 -6.3198e-01 -2.2848e+00 -4.3233e+00 -3.2031e+00 -2.8184e+00 -2.7893e+00 -4.1656e+00 +3.8722e+00
2 +2.036676808e+01 +2.036676808e+01 -1.275332319e+02 -1.275332319e+02 -4.3433e+00 -4.0915e+00 -3.1518e+00 +4.6068e+00 +1.0742e+00 -3.3730e+00 -3.6383e+00 +1.2187e+00 +4.0333e-01 +3.1153e+00 +1.0539e+00 +3.2203e+00 +3.8156e+00 +2.6173e-01 +4.0990e+00 +4.3121e+00 +5.3012e-01 -1.1254e+00 +2.8902e+00 -2.6326e+00
10 +1.572298114e+01 +1.572298114e+01 -1.321770189e+02 -1.321770189e+02 +1.8106e+00 -3.1240e+00 +4.0741e-01 -3.7445e+00 +3.3680e+00 +4.4099e+00 -1.8807e+00 +4.3725e+00 +4.3531e+00 -6.4007e-01 +1.8593e+00 -3.1161e+00 -6.9011e-01 -4.0460e+00 +1.4667e+00 -2.5806e+00 -4.6366e+00 -2.3334e+00 -4.7243e+00 +1.9218e+00
208 +9.655211674e+00 +9.655211674e+00 -1.382447883e+02 -1.382447883e+02 -1.9246e+00 -3.1817e+00 -9.8137e-01 -1.3338e+00 -3.3646e+00 +4.6944e+00 -1.6109e+00 -2.5031e+00 +1.0803e-01 -5.6553e-01 -5.6853e-01 +4.6157e+00 -3.5359e-01 -4.0407e+00 +2.2482e+00 +4.7067e+00 -2.3243e+00 -1.1033e+00 -2.3601e+00 -4.6482e-01
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.883434988e+01 +4.883434988e+01 +1.650943499e+02 +1.650943499e+02 -1.4280e+00 -4.7154e-01 +4.0141e+00 -3.4322e+00 -4.2436e+00 -2.0820e+00 -3.6718e+00 +4.5510e+00 +4.0535e+00 +1.8350e-01 +5.7240e-01 -4.2834e+00 -4.6891e-01 +3.8984e+00 -5.3231e-01 +4.5194e+00 +4.8449e+00 -4.6599e+00 -3.2685e+00 +1.2858e+00
