% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.270392864e+06 +4.270392864e+06 +4.270337924e+06 +4.270337924e+06 -7.6025e-01 -2.7864e+00 -5.3768e-01 +4.5201e+00 -9.7363e-01 -1.9555e+00 +1.1438e+00 +4.1942e-01 -1.6297e+00 +4.9381e+00 +1.5261e+00 +1.1300e+00 +2.7294e+00 +1.8174e+00 +3.7012e+00 -3.6406e+00 +2.4669e+00 +2.1376e+00 +3.3188e+00 +2.5907e+00
10 +3.138694971e+06 +3.138694971e+06 +3.138640031e+06 +3.138640031e+06 +1.9267e+00 -3.0024e+00 -4.3557e+00 +3.4934e+00 +3.0069e-02 +2.6682e+00 +2.3287e-01 -2.8967e+00 -3.7257e+00 +5.9445e-01 -3.3640e+00 +1.5427e+00 -1.8324e+00 -1.3481e+00 +3.2060e+00 -3.4712e+00 -3.4024e+00 +4.0082e-01 -3.5589e+00 +3.4062e+00
105 +1.790804564e+06 +1.790804564e+06 +1.790749624e+06 +1.790749624e+06 +2.5905e-01 +2.1076e+00 -1.0588e+00 +2.9732e+00 -1.3063e+00 +4.1834e+00 -5.5662e-01 +1.0383e+00 -1.2171e+00 +4.8726e+00 +2.2716e+00 -1.7117e+00 +1.9627e+00 -1.5602e+00 +3.5094e+00 +2.3491e+00 +4.4118e+00 +4.8425e+00 +2.9604e+00 +2.1756e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.290935825e+07 +1.290935825e+07 +1.290941738e+07 +1.290941738e+07 +3.8015e+00 +4.4926e+00 -2.3473e+00 -4.6287e+00 -3.0285e+00 +4.8899e+00 -5.3526e-01 -3.4070e+00 +1.3885e+00 -1.6492e+00 +6.4747e-01 +6.0646e-01 -7.1277e-01 +3.7681e+00 +2.6326e+00 +3.9749e-01 -2.1920e+00 -4.2157e+00 -3.0749e+00 +3.3954e+00
8 +5.867486877e+06 +5.867486877e+06 +5.867546007e+06 +5.867546007e+06 +2.6605e+00 +4.4974e+00 +1.9815e+00 -4.1005e+00 -4.9738e-01 +4.6289e+00 -2.7680e+00 +2.0445e+00 -3.8584e+00 -3.3982e+00 +2.5389e+00 +2.4540e+00 -2.7013e+00 -1.1288e+00 -3.7441e+00 +5.1978e-01 +1.0640e+00 -3.1113e-01 -2.3904e+00 +2.2516e+00
23 +3.900724466e+06 +3.900724466e+06 +3.900783596e+06 +3.900783596e+06 -2.5051e+00 -1.2049e+00 +7.7687e-01 +1.3884e+00 +2.4394e+00 +3.4537e-01 -3.4758e+00 +1.8836e-02 +2.8876e+00 +1.2646e-01 +3.2508e+00 +1.6915e-01 +3.4713e+00 +1.8829e+00 +3.0392e+00 +3.5417e+00 +2.9127e+00 -2.1215e+00 +1.2554e+00 -1.5982e+00
117 +2.407347945e+06 +2.407347945e+06 +2.407407075e+06 +2.407407075e+06 -4.2527e-01 +2.5063e+00 -2.6102e+00 +4.0273e+00 -4.5249e+00 +1.4901e+00 +2.4587e+00 -1.5810e+00 -2.0270e+00 -3.5826e+00 +3.1676e+00 -3.4459e-01 -3.5659e+00 +1.1228e+00 +2.7362e+00 +4.7751e+00 +1.6223e+00 -2.3383e-01 +4.8333e+00 +4.8363e+00
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.118925352e+07 +4.118925352e+07 +4.118876199e+07 +4.118876199e+07 +4.1330e+00 -4.2240e+00 +1.7388e+00 -3.4214e+00 -2.0723e+00 -4.6538e-01 -3.5564e+00 -2.1674e+00 -1.6692e+00 -7.1365e-01 -4.5100e+00 +2.9972e+00 -4.6953e+00 +1.7299e+00 +2.3044e+00 +4.4286e+00 -3.2713e+00 +1.1464e+00 -2.2857e+00 +7.4695e-01
