% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.678829485e+04 +1.678829485e+04 +1.632620485e+04 +1.632620485e+04 -3.9754e+00 +4.4378e-01 +2.4781e+00 +2.6931e+00 -6.0579e-01 -2.1211e-01 +9.2819e-01 +8.3384e-01 -1.9297e+00 -1.9741e+00 -4.4918e+00 +4.8756e+00 +4.4297e+00 -4.7330e+00 -1.6183e+00 -3.7796e+00 +3.7381e+00 +5.5417e-02 +8.6531e-01 -4.8681e+00
2 +2.527878292e+03 +2.527878292e+03 +2.065788292e+03 +2.065788292e+03 -3.7742e+00 +1.8918e+00 -4.0447e+00 -4.3319e+00 -8.2477e-01 -3.6229e+00 +2.8988e+00 +1.4986e+00 -4.9937e+00 -3.5122e+00 -4.3057e+00 -3.8851e+00 -3.8730e+00 -4.8492e+00 +2.1938e+00 +4.3463e+00 -3.5571e+00 -4.9609e+00 +3.5521e+00 +9.3074e-01
3 +1.575675993e+03 +1.575675993e+03 +1.113585993e+03 +1.113585993e+03 +8.5806e-01 -3.8278e+00 -2.2853e+00 -5.2039e-01 -1.3846e+00 +1.8756e+00 -2.7825e+00 +4.6408e+00 -2.0822e+00 +2.7172e-01 -6.6904e-01 +2.4135e+00 -5.6104e-01 -5.7258e-01 -2.3015e-01 +2.2722e+00 -4.3907e+00 +2.3013e+00 -3.8540e+00 -1.8653e+00
37 +9.959514608e+02 +9.959514608e+02 +5.338614608e+02 +5.338614608e+02 -3.2517e+00 +1.9638e+00 +2.7845e+00 +7.0850e-01 -4.5839e-01 -2.9513e+00 -4.8937e+00 +1.4321e+00 +2.1246e+00 -1.7669e+00 -2.2975e+00 -4.7517e-01 -2.5960e+00 +1.0120e+00 -3.3196e+00 -1.0850e+00 -3.0028e+00 +1.9845e+00 +3.0019e-01 +2.1076e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.587172755e+03 +9.587172755e+03 +9.664832755e+03 +9.664832755e+03 -4.5982e+00 -4.6671e+00 -3.9779e-01 +2.8724e-01 +2.5302e+00 -1.6615e+00 +4.2202e+00 -2.6039e-01 +2.6397e+00 -1.5111e+00 -4.6649e+00 +8.8796e-01 +3.3050e+00 -2.6587e+00 -4.8755e+00 +2.8065e+00 -1.9290e-01 -1.3087e+00 -2.3328e+00 +2.5076e+00
2 +4.110975620e+03 +4.110975620e+03 +4.188635620e+03 +4.188635620e+03 +2.0948e+00 -2.0371e+00 -3.7412e+00 -1.9887e+00 +2.8431e+00 +1.5513e+00 +1.3716e+00 +2.2062e+00 +1.3513e+00 +2.7592e+00 +4.7838e+00 +2.4731e+00 -4.4389e+00 +1.1407e-01 +3.7989e+00 +4.3775e+00 -3.7395e+00 +3.2744e+00 -4.4451e+00 +3.7989e+00
4 +1.309512189e+03 +1.309512189e+03 +1.387172189e+03 +1.387172189e+03 +1.8503e+00 -1.0705e+00 +1.5894e+00 -4.1772e+00 -1.6132e+00 +3.4990e+00 -4.7363e+00 -1.2233e-01 +4.4900e-01 +1.3493e+00 -2.1418e-01 -4.5827e+00 -1.8378e+00 +4.8376e+00 +3.0395e+00 -4.0066e+00 -4.2712e-01 -4.9832e+00 -2.0468e+00 -3.0462e+00
233 +9.716246318e+02 +9.716246318e+02 +1.049284632e+03 +1.049284632e+03 -1.6315e+00 -2.1272e-77 -4.2202e+00 -4.9993e+00 +2.8207e+00 -1.3054e+00 -4.4895e+00 -2.2309e+00 +3.0469e-77 -2.4121e+00 -2.1718e+00 -3.0448e+00 -2.9139e-77 -5.0000e+00 -2.7238e+00 -3.1171e+00 -1.0517e+00 -4.0060e+00 +3.2331e-77 -3.9089e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
