% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.052765474e+03 +3.052765474e+03 +3.145705474e+03 +3.145705474e+03 +1.0647e+00 -2.0996e+00 +4.7453e+00 -1.3939e+00 +2.7479e+00 +4.1319e+00 +6.8398e-01 -4.7240e+00 -4.8898e+00 +4.2083e+00 +1.2924e+00 +1.5932e+00 -3.3998e+00 -2.9348e+00 +3.6403e+00 +1.0265e+00 -4.9890e+00 +3.4505e+00 -1.2226e+00 -4.8779e+00
4 +1.150758632e+03 +1.150758632e+03 +1.243698632e+03 +1.243698632e+03 -1.5003e+00 +3.4459e+00 +7.6613e-01 -8.1237e-01 +3.2932e+00 -8.5190e-01 -4.2600e+00 -1.2808e+00 +1.8392e+00 -1.1253e+00 +1.7615e+00 -3.9337e+00 -3.0629e+00 -3.4964e+00 +9.5967e-01 +2.2471e+00 +4.0339e+00 -1.5453e+00 -4.0006e+00 -4.0224e+00
14 +8.870627342e+02 +8.870627342e+02 +9.800027342e+02 +9.800027342e+02 -4.8127e+00 -3.9302e+00 -2.7689e+00 +4.3248e+00 +4.6999e+00 +2.1222e-01 +4.8639e+00 +4.4136e+00 +4.1774e+00 +3.1533e+00 -2.9191e+00 -2.1597e+00 +2.7265e+00 -2.4751e+00 -2.4541e+00 +3.3614e+00 +3.3739e+00 -1.5135e+00 +1.4119e+00 -1.0640e+00
69 +6.287747523e+02 +6.287747523e+02 +7.217147523e+02 +7.217147523e+02 +1.2345e+00 -3.3684e+00 +4.2959e-01 -1.3017e-01 -3.5753e+00 +4.5601e+00 -9.4466e-01 +1.8398e+00 +3.9516e+00 +4.9470e+00 -1.5514e+00 -3.7075e+00 -2.5647e+00 +2.7201e+00 -6.0605e-01 -1.7912e+00 +4.8396e+00 -4.3742e+00 -1.6270e+00 -2.5724e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.660147551e+03 +3.660147551e+03 +3.695497551e+03 +3.695497551e+03 +2.1090e+00 +3.3130e-01 -1.4957e+00 +3.2389e+00 -1.5014e+00 +1.5683e+00 -9.8943e-01 -1.7803e-01 -3.4697e+00 -2.4086e+00 +1.7747e+00 -3.8250e+00 +9.0565e-01 +3.5354e+00 +3.5258e+00 +1.1432e+00 -4.3321e+00 +5.8951e-02 +1.6080e+00 -1.0518e+00
3 +1.380458690e+03 +1.380458690e+03 +1.415808690e+03 +1.415808690e+03 -2.2680e-01 +3.9215e+00 +4.0519e+00 +4.4290e+00 +1.0247e+00 +2.3855e+00 +3.8236e+00 +8.4023e-04 +1.3519e+00 +2.7637e+00 +2.8152e+00 +2.3615e+00 +3.1440e+00 +3.5780e+00 -7.0390e-01 -3.9912e+00 +3.0392e+00 -2.5145e+00 +1.5091e+00 +3.8700e+00
307 +6.124529507e+02 +6.124529507e+02 +6.478029507e+02 +6.478029507e+02 -1.1671e+00 -7.2990e-05 +4.7573e+00 +4.9877e-05 -3.2272e-05 -1.1293e+00 +5.0000e+00 +5.0000e+00 -1.5207e+00 +1.6294e+00 +1.4643e+00 +1.1199e+00 -4.8277e-05 +5.0000e+00 -5.0000e+00 -5.3461e-05 -1.3786e+00 +2.8062e+00 +5.0000e+00 +5.0000e+00
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.282869684e+03 +2.282869684e+03 +2.286689684e+03 +2.286689684e+03 +3.6797e+00 +4.4199e+00 +1.2989e+00 +3.6819e+00 -1.6206e+00 -1.8158e+00 +4.0874e+00 +2.0989e+00 -4.3839e+00 +2.4674e+00 -4.2343e+00 -2.5331e+00 -1.8924e+00 +4.7023e+00 -6.6639e-01 +2.4736e+00 -4.4584e+00 -2.4405e+00 +2.8246e+00 -3.1001e+00
2 +9.160452700e+02 +9.160452700e+02 +9.198652700e+02 +9.198652700e+02 -5.9639e-01 +2.6638e-01 -8.6726e-01 -1.2407e+00 +3.9361e-01 +1.5613e+00 -3.4358e+00 +3.5097e+00 +2.4197e+00 -2.5830e+00 +3.7866e+00 +1.1179e+00 +1.5702e+00 -1.8614e+00 -3.7271e+00 +2.0428e+00 -1.7338e+00 -7.8539e-02 -2.7754e+00 +3.5962e+00
43 +4.180232590e+02 +4.180232590e+02 +4.218432590e+02 +4.218432590e+02 +4.1471e+00 +2.9254e+00 +9.7224e-01 -1.8964e+00 +1.5198e+00 +3.8134e+00 +2.5665e+00 -2.0950e+00 +6.4025e-01 +1.0414e+00 -2.8098e+00 +1.8263e+00 -1.5282e+00 -3.7362e+00 +1.1860e+00 +2.1332e+00 -2.6180e-01 +4.4014e-01 -1.7446e+00 +1.2860e+00
592 +3.477646883e+02 +3.477646883e+02 +3.515846883e+02 +3.515846883e+02 +5.0000e+00 +2.3765e+00 +8.9754e-01 -1.2183e+00 +1.2500e+00 +2.3984e+00 +2.5000e+00 -2.3243e+00 +5.5594e-01 +1.0975e+00 -2.1802e+00 +1.2500e+00 -1.0624e+00 -3.5726e+00 +1.0769e+00 +2.7956e+00 -2.7511e-01 +2.7911e-01 -1.2994e+00 +1.3019e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.040007353e+03 +1.040007353e+03 +1.061757353e+03 +1.061757353e+03 -3.8596e+00 +1.7829e+00 -2.5777e+00 -3.8109e+00 +1.6510e+00 -9.4072e-02 +5.3945e-01 +1.1078e-01 -3.7731e+00 -4.1302e-01 +3.2471e-01 -2.6884e+00 +2.9431e+00 -1.8142e+00 +9.7885e-01 -4.6201e+00 -4.3101e+00 +2.4566e+00 -2.7373e+00 -1.0247e+00
10 +9.614866610e+02 +9.614866610e+02 +9.832366610e+02 +9.832366610e+02 +8.5709e-01 -2.6378e+00 -2.7716e+00 -3.9210e+00 -1.0213e+00 -3.8043e+00 +2.9893e+00 -3.2786e+00 -2.8634e+00 +1.4228e+00 +4.7795e-01 +4.7981e+00 +2.7464e+00 -1.7921e+00 +1.7832e+00 -4.0179e+00 +5.0814e-01 -2.0461e+00 -4.8179e-01 +1.8806e+00
% function evaluation | noise-free fitness - Fopt (6.479000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.442940261e+03 +1.442940261e+03 +1.507730261e+03 +1.507730261e+03 +2.5593e+00 -6.1382e-01 -3.6826e+00 -6.5100e-01 -1.0548e+00 +4.7061e+00 -1.8206e+00 +1.1773e+00 +1.2610e+00 -7.3899e-01 +4.8320e+00 +4.9520e+00 +5.3418e-01 +4.7848e+00 +1.9996e+00 +2.3569e-01 +2.4062e+00 +4.7996e+00 -3.0525e+00 -1.8961e+00
17 +8.995565122e+02 +8.995565122e+02 +9.643465122e+02 +9.643465122e+02 +2.8926e+00 +2.3612e+00 -3.7429e+00 -1.7596e+00 +2.8900e+00 -2.3672e+00 -1.5480e+00 -1.0541e+00 -2.3886e+00 -5.8413e-02 +4.7628e+00 -2.5515e+00 -7.9229e-01 -2.7296e+00 +3.2252e+00 +7.8683e-01 -2.3214e+00 +3.9693e+00 +3.7373e+00 +2.1989e+00
